Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
42,Analytic,1,19,10,45,0.0,0.0,58,0.0,24,15.0,5.0,10,2.0,96,40,0.0,1.0,5,0.0,1.0,0.0,0.0,315,1.0,6.0,5.0,1.0,4.0,40.0,49,1.0,0.0,25,25,8.0,1.0,14,0.0,0.0,0.0,3.0,36,16,44,59,92,4,84,14,100,7.0,0.0,5.0,3.0,6.0,45,53,2.0,2.0,30,44,11.0,4.0,0.0
43,Analytic,1,12,9,44,2.0,2.0,47,0.0,25,10.0,2.0,8,6.0,132,48,0.0,6.0,12,0.0,5.0,0.0,5.0,314,2.0,5.0,3.0,2.0,3.0,27.0,68,2.0,4.0,23,34,7.0,3.0,25,4.0,4.0,0.0,2.0,27,20,40,55,94,17,89,6,113,3.0,0.0,4.0,1.0,0.0,54,58,11.0,2.0,28,52,24.0,6.0,2.0
44,Analytic,1,27,12,37,1.0,2.0,81,0.0,43,7.0,3.0,8,9.0,123,52,0.0,4.0,12,0.0,4.0,0.0,0.0,402,6.0,4.0,6.0,0.0,5.0,49.0,46,0.0,5.0,23,27,6.0,0.0,18,4.0,4.0,0.0,1.0,38,15,31,68,111,16,95,17,96,0.0,2.0,1.0,0.0,0.0,53,54,14.0,9.0,20,66,10.0,16.0,0.0
45,Analytic,1,15,13,63,5.0,8.0,53,1.0,15,10.0,2.0,6,3.0,111,32,0.0,4.0,5,0.0,2.0,1.0,6.0,348,0.0,1.0,8.0,0.0,4.0,39.0,48,7.0,7.0,23,30,8.0,0.0,13,0.0,15.0,0.0,2.0,32,19,47,91,99,1,121,21,93,3.0,3.0,4.0,0.0,32.0,85,58,18.0,1.0,23,35,18.0,6.0,1.0
46,Analytic,1,14,24,63,2.0,9.0,57,0.0,45,10.0,3.0,8,5.0,139,58,0.0,13.0,11,0.0,5.0,1.0,5.0,389,9.0,4.0,3.0,1.0,4.0,61.0,56,3.0,2.0,36,39,6.0,2.0,19,1.0,15.0,0.0,4.0,41,15,47,75,100,13,114,7,114,0.0,3.0,3.0,1.0,2.0,48,51,8.0,2.0,43,73,10.0,6.0,0.0
47,Analytic,1,11,12,55,0.0,1.0,57,0.0,25,7.0,4.0,5,4.0,116,41,0.0,4.0,6,0.0,4.0,1.0,6.0,329,3.0,1.0,6.0,1.0,4.0,24.0,65,0.0,4.0,24,24,4.0,3.0,15,0.0,2.0,0.0,3.0,27,24,52,67,98,9,91,12,84,4.0,0.0,8.0,2.0,1.0,81,42,4.0,10.0,27,44,30.0,9.0,2.0
48,Analytic,1,14,11,58,10.0,13.0,27,0.0,24,5.0,2.0,15,4.0,105,40,0.0,5.0,8,0.0,1.0,0.0,3.0,285,3.0,3.0,1.0,0.0,5.0,53.0,34,0.0,6.0,27,24,3.0,1.0,16,7.0,29.0,0.0,2.0,27,8,28,68,85,11,92,13,84,1.0,1.0,1.0,0.0,9.0,39,46,9.0,2.0,21,45,4.0,9.0,0.0
49,Analytic,1,7,12,42,6.0,6.0,47,0.0,15,3.0,3.0,4,7.0,97,46,1.0,4.0,4,5.0,1.0,0.0,0.0,284,2.0,0.0,5.0,5.0,4.0,51.0,50,0.0,8.0,14,25,5.0,2.0,10,3.0,18.0,0.0,3.0,10,16,20,52,88,12,77,6,70,0.0,3.0,0.0,0.0,0.0,40,42,4.0,1.0,18,27,0.0,3.0,0.0
50,Analytic,1,16,11,33,0.0,1.0,73,0.0,19,6.0,4.0,10,4.0,93,39,0.0,2.0,3,0.0,4.0,0.0,2.0,347,1.0,2.0,5.0,2.0,7.0,57.0,41,0.0,0.0,31,24,5.0,3.0,31,0.0,3.0,0.0,1.0,30,18,28,61,123,7,85,8,124,0.0,2.0,5.0,0.0,0.0,22,54,0.0,1.0,33,39,3.0,3.0,0.0
51,Analytic,1,18,15,59,0.0,3.0,58,0.0,40,6.0,1.0,14,7.0,131,49,0.0,7.0,13,0.0,8.0,0.0,4.0,374,1.0,3.0,2.0,0.0,11.0,37.0,51,2.0,3.0,33,49,8.0,2.0,16,2.0,5.0,0.0,1.0,51,23,54,57,105,16,106,14,96,2.0,2.0,9.0,0.0,0.0,74,51,8.0,19.0,26,74,1.0,3.0,0.0
