LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value
insight,-0.013385908358623654,-0.013385908358623654,-0.013385908358623654,-0.013385908358623654,-0.013385908358623654,0.8798530186969195,0.8798530186969195,0.8798530186969195,0.8798530186969195,0.8798530186969195
ipron,-0.017737993689725187,-0.017737993689725187,-0.017737993689725187,-0.017737993689725187,-0.017737993689725187,0.841240733713106,0.841240733713106,0.841240733713106,0.841240733713106,0.841240733713106
leisure,-0.003142324403707462,-0.003142324403707462,-0.003142324403707462,-0.003142324403707462,-0.003142324403707462,0.9716953496482262,0.9716953496482262,0.9716953496482262,0.9716953496482262,0.9716953496482262
money,0.0035297806399502466,0.0035297806399502466,0.0035297806399502466,0.0035297806399502466,0.0035297806399502466,0.9682070431813478,0.9682070431813478,0.9682070431813478,0.9682070431813478,0.9682070431813478
motion,-0.03340902973583242,-0.03340902973583242,-0.03340902973583242,-0.03340902973583242,-0.03340902973583242,0.7059150736497765,0.7059150736497765,0.7059150736497765,0.7059150736497765,0.7059150736497765
negate,0.005496414072517293,0.005496414072517293,0.005496414072517293,0.005496414072517293,0.005496414072517293,0.9505118968502168,0.9505118968502168,0.9505118968502168,0.9505118968502168,0.9505118968502168
negemo,0.0307328605200946,0.0307328605200946,0.0307328605200946,0.0307328605200946,0.0307328605200946,0.7285115165805728,0.7285115165805728,0.7285115165805728,0.7285115165805728,0.7285115165805728
nonfl,0.017831573790537295,0.017831573790537295,0.017831573790537295,0.017831573790537295,0.017831573790537295,0.8404142679990695,0.8404142679990695,0.8404142679990695,0.8404142679990695,0.8404142679990695
number,0.02327470320578634,0.02327470320578634,0.02327470320578634,0.02327470320578634,0.02327470320578634,0.7926700211663089,0.7926700211663089,0.7926700211663089,0.7926700211663089,0.7926700211663089
past,-0.027024437226967627,-0.027024437226967627,-0.027024437226967627,-0.027024437226967627,-0.027024437226967627,0.76020941112525,0.76020941112525,0.76020941112525,0.76020941112525,0.76020941112525
percept,-0.02459780028756,-0.02459780028756,-0.02459780028756,-0.02459780028756,-0.02459780028756,0.7811724987635141,0.7811724987635141,0.7811724987635141,0.7811724987635141,0.7811724987635141
posemo,-0.007198505169653374,-0.007198505169653374,-0.007198505169653374,-0.007198505169653374,-0.007198505169653374,0.9352161507722715,0.9352161507722715,0.9352161507722715,0.9352161507722715,0.9352161507722715
ppron,-0.004721561793262983,-0.004721561793262983,-0.004721561793262983,-0.004721561793262983,-0.004721561793262983,0.95748137412015,0.95748137412015,0.95748137412015,0.95748137412015,0.95748137412015
preps,-0.014227558226964067,-0.014227558226964067,-0.014227558226964067,-0.014227558226964067,-0.014227558226964067,0.8723607976960075,0.8723607976960075,0.8723607976960075,0.8723607976960075,0.8723607976960075
present,-0.021977202223527174,-0.021977202223527174,-0.021977202223527174,-0.021977202223527174,-0.021977202223527174,0.8039885647112833,0.8039885647112833,0.8039885647112833,0.8039885647112833,0.8039885647112833
pronoun,-0.013044660964654802,-0.013044660964654802,-0.013044660964654802,-0.013044660964654802,-0.013044660964654802,0.8828938136826091,0.8828938136826091,0.8828938136826091,0.8828938136826091,0.8828938136826091
quant,0.008529889924186752,0.008529889924186752,0.008529889924186752,0.008529889924186752,0.008529889924186752,0.9232679032725994,0.9232679032725994,0.9232679032725994,0.9232679032725994,0.9232679032725994
relativ,-0.01574351005901086,-0.01574351005901086,-0.01574351005901086,-0.01574351005901086,-0.01574351005901086,0.858894996929321,0.858894996929321,0.858894996929321,0.858894996929321,0.858894996929321
relig,-0.010015089641559886,-0.010015089641559886,-0.010015089641559886,-0.010015089641559886,-0.010015089641559886,0.9099595546388146,0.9099595546388146,0.9099595546388146,0.9099595546388146,0.9099595546388146
sad,0.006427579493480525,0.006427579493480525,0.006427579493480525,0.006427579493480525,0.006427579493480525,0.9421414405004899,0.9421414405004899,0.9421414405004899,0.9421414405004899,0.9421414405004899
see,-0.015236468995928823,-0.015236468995928823,-0.015236468995928823,-0.015236468995928823,-0.015236468995928823,0.8633945949240059,0.8633945949240059,0.8633945949240059,0.8633945949240059,0.8633945949240059
