Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
87,Creative,1,5,22,56,0.0,2,54,0.0,29,9.0,4.0,8,8,121,42,0.0,5.0,10,0.0,3,0.0,6.0,380,3.0,4.0,6,8.0,2,62.0,56,1.0,1.0,28,31,3.0,1.0,23,1.0,4,0.0,2.0,44,24,51,93,106,11,124,11,115,2.0,2.0,7.0,0.0,10.0,58,54,0.0,6,0.0,39,65,15.0,2,6.0
88,Creative,1,10,22,61,6.0,4,50,1.0,22,14.0,5.0,6,2,117,49,0.0,6.0,9,1.0,2,2.0,6.0,397,1.0,4.0,3,1.0,8,78.0,49,4.0,5.0,35,22,15.0,3.0,13,3.0,15,0.0,3.0,31,18,46,111,122,6,133,15,119,1.0,6.0,9.0,1.0,19.0,79,76,0.0,18,9.0,31,46,4.0,6,1.0
89,Creative,1,47,10,40,0.0,2,40,0.0,20,1.0,1.0,16,5,133,46,0.0,6.0,2,0.0,2,0.0,0.0,307,2.0,0.0,1,1.0,6,30.0,64,0.0,6.0,36,34,7.0,2.0,13,0.0,5,0.0,3.0,22,9,35,65,90,10,99,11,67,3.0,0.0,0.0,0.0,0.0,67,38,0.0,3,3.0,18,36,32.0,52,0.0
90,Creative,1,11,18,40,9.0,6,52,0.0,30,14.0,6.0,5,4,90,33,0.0,7.0,13,0.0,3,1.0,0.0,345,2.0,6.0,5,0.0,5,57.0,26,2.0,6.0,24,22,6.0,4.0,8,5.0,19,0.0,2.0,38,20,20,91,101,7,113,6,95,0.0,3.0,8.0,0.0,28.0,56,67,1.0,10,6.0,21,52,0.0,2,0.0
91,Creative,1,6,24,47,5.0,4,65,0.0,22,11.0,7.0,5,4,111,49,0.0,12.0,16,0.0,5,1.0,2.0,426,1.0,0.0,7,3.0,4,66.0,41,4.0,2.0,32,38,15.0,4.0,7,6.0,16,0.0,0.0,29,25,28,101,125,9,139,15,107,2.0,8.0,10.0,0.0,21.0,66,77,0.0,10,6.0,22,43,5.0,12,3.0
92,Creative,1,13,25,42,7.0,6,52,0.0,26,3.0,1.0,9,4,106,40,0.0,11.0,10,7.0,3,1.0,1.0,326,4.0,1.0,4,4.0,6,59.0,34,0.0,5.0,21,26,3.0,2.0,10,2.0,15,0.0,0.0,26,10,26,70,90,11,96,8,82,0.0,2.0,1.0,1.0,7.0,62,50,0.0,13,1.0,23,50,1.0,3,2.0
93,Creative,1,9,14,37,2.0,4,69,0.0,22,7.0,4.0,9,2,116,37,0.0,6.0,8,0.0,7,2.0,6.0,356,2.0,1.0,5,3.0,7,63.0,47,3.0,0.0,36,24,7.0,1.0,14,5.0,10,0.0,2.0,23,17,26,67,125,13,91,8,102,2.0,5.0,4.0,0.0,0.0,41,70,0.0,11,1.0,19,43,3.0,9,0.0
94,Creative,1,13,4,52,0.0,2,66,0.0,13,8.0,2.0,5,5,100,45,0.0,1.0,2,0.0,3,0.0,1.0,286,0.0,4.0,2,2.0,9,36.0,57,0.0,2.0,23,20,11.0,3.0,15,0.0,2,0.0,1.0,20,11,49,42,97,12,62,8,89,4.0,0.0,0.0,2.0,0.0,45,48,0.0,4,2.0,24,34,4.0,6,0.0
95,Creative,1,29,11,63,1.0,9,55,0.0,33,12.0,6.0,4,5,139,54,0.0,5.0,9,0.0,4,0.0,2.0,358,1.0,6.0,6,0.0,6,27.0,84,0.0,4.0,25,23,6.0,2.0,26,2.0,13,1.0,5.0,32,19,48,64,113,22,87,10,112,2.0,3.0,4.0,0.0,0.0,70,63,0.0,5,1.0,22,60,36.0,11,0.0
96,Creative,1,16,16,52,3.0,4,45,0.0,24,11.0,3.0,7,4,91,39,0.0,4.0,13,0.0,3,2.0,5.0,361,2.0,5.0,7,1.0,8,65.0,34,3.0,3.0,27,30,9.0,6.0,14,2.0,12,1.0,3.0,33,18,38,93,113,5,123,10,92,0.0,5.0,5.0,0.0,8.0,60,56,0.0,4,17.0,23,43,1.0,11,2.0
