Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
85,Creative_2,1,15,9,61,0.0,2.0,57,1.0,27,8,3.0,10,4,110,43,1.0,2.0,8.0,0.0,16.0,0.0,5.0,293,1.0,2.0,0.0,1.0,8,24.0,53,1.0,1.0,26,20,7,0.0,14,2.0,6,0.0,2.0,32,27,54,50,93,10,70,2,81,2.0,4.0,5.0,2.0,12.0,69,46,7.0,0.0,19,50,14.0,4.0,0.0
86,Creative_2,1,23,8,69,0.0,9.0,46,1.0,14,9,2.0,11,8,105,48,0.0,5.0,3.0,0.0,5.0,1.0,4.0,285,1.0,4.0,1.0,1.0,7,0.0,50,1.0,3.0,22,19,19,1.0,16,0.0,9,0.0,5.0,32,15,60,57,93,9,76,8,86,1.0,1.0,5.0,2.0,51.0,108,41,5.0,6.0,30,44,0.0,12.0,0.0
87,Creative_2,1,19,15,51,0.0,5.0,55,0.0,40,4,0.0,9,10,148,54,0.0,4.0,10.0,0.0,6.0,1.0,3.0,378,2.0,4.0,7.0,1.0,13,54.0,67,0.0,2.0,39,35,11,3.0,18,6.0,6,0.0,5.0,49,20,41,66,106,10,101,14,94,7.0,2.0,0.0,0.0,0.0,59,43,6.0,3.0,32,65,9.0,7.0,0.0
88,Creative_2,1,17,17,59,0.0,1.0,54,0.0,31,5,3.0,10,5,94,40,0.0,2.0,11.0,0.0,7.0,0.0,5.0,311,1.0,1.0,6.0,1.0,5,37.0,37,1.0,2.0,24,38,10,1.0,11,2.0,1,1.0,1.0,33,20,57,47,92,17,85,7,78,2.0,0.0,1.0,0.0,1.0,61,40,10.0,9.0,25,56,0.0,6.0,0.0
89,Creative_2,1,39,15,53,0.0,6.0,66,0.0,25,9,1.0,14,8,108,44,0.0,3.0,4.0,2.0,4.0,0.0,6.0,329,0.0,5.0,0.0,4.0,3,52.0,58,0.0,2.0,15,23,12,2.0,24,1.0,7,0.0,2.0,23,11,44,59,94,13,82,11,95,2.0,1.0,3.0,3.0,0.0,35,43,1.0,1.0,27,38,6.0,24.0,0.0
90,Creative_2,1,18,12,73,0.0,2.0,55,0.0,29,6,2.0,12,7,97,43,0.0,3.0,2.0,0.0,5.0,0.0,3.0,296,0.0,2.0,4.0,3.0,2,30.0,48,0.0,2.0,17,30,18,5.0,12,0.0,2,1.0,1.0,39,12,71,42,88,11,72,7,79,3.0,1.0,0.0,2.0,0.0,52,41,10.0,7.0,25,55,5.0,1.0,0.0
91,Creative_2,1,16,14,47,2.0,1.0,50,0.0,18,3,0.0,9,5,119,43,0.0,2.0,4.0,0.0,1.0,0.0,3.0,295,0.0,1.0,2.0,0.0,3,7.0,73,2.0,1.0,18,16,15,1.0,19,1.0,3,1.0,5.0,28,11,42,63,90,4,79,9,88,2.0,0.0,4.0,0.0,0.0,78,48,6.0,4.0,18,35,52.0,6.0,0.0
92,Creative_2,1,18,20,64,0.0,4.0,62,0.0,23,4,2.0,12,5,110,52,0.0,3.0,4.0,0.0,7.0,1.0,6.0,358,0.0,1.0,2.0,5.0,8,55.0,51,1.0,3.0,25,33,10,1.0,18,2.0,4,1.0,2.0,33,17,57,63,121,12,96,6,98,2.0,0.0,3.0,0.0,0.0,65,55,3.0,2.0,25,52,6.0,5.0,0.0
93,Creative_2,1,17,7,58,1.0,10.0,57,0.0,14,10,1.0,10,7,108,45,0.0,1.0,6.0,0.0,5.0,0.0,3.0,277,0.0,4.0,7.0,0.0,8,0.0,53,2.0,4.0,21,13,9,0.0,15,1.0,13,0.0,3.0,24,23,45,46,93,5,59,8,95,7.0,1.0,3.0,3.0,40.0,79,50,7.0,6.0,31,32,0.0,7.0,0.0
94,Creative_2,1,12,10,65,0.0,1.0,82,1.0,24,10,5.0,6,4,114,45,0.0,2.0,7.0,0.0,7.0,1.0,7.0,375,0.0,4.0,3.0,6.0,2,42.0,56,1.0,4.0,30,34,8,0.0,18,2.0,2,1.0,1.0,41,16,63,73,113,5,107,6,103,1.0,0.0,5.0,0.0,8.0,70,55,8.0,3.0,28,49,20.0,6.0,0.0
95,Creative_2,1,15,11,40,2.0,2.0,50,0.0,38,4,0.0,7,8,112,41,0.0,3.0,4.0,0.0,1.0,0.0,1.0,348,2.0,3.0,3.0,1.0,7,52.0,49,0.0,8.0,23,23,7,3.0,11,1.0,5,0.0,4.0,48,16,35,77,103,12,100,9,109,2.0,1.0,3.0,1.0,17.0,68,54,5.0,6.0,41,65,2.0,1.0,0.0
96,Creative_2,1,11,11,53,0.0,1.0,63,1.0,17,12,3.0,4,7,126,49,0.0,1.0,3.0,0.0,7.0,2.0,8.0,311,0.0,6.0,4.0,2.0,2,14.0,84,2.0,1.0,20,18,19,4.0,24,0.0,1,0.0,2.0,26,20,51,50,99,14,68,13,128,5.0,0.0,2.0,1.0,0.0,66,63,5.0,0.0,40,42,36.0,3.0,0.0
97,Creative_2,1,12,11,32,0.0,2.0,61,0.0,23,4,2.0,9,2,92,37,0.0,4.0,0.0,0.0,0.0,0.0,4.0,302,2.0,1.0,0.0,1.0,8,56.0,38,1.0,4.0,34,15,10,1.0,24,1.0,4,0.0,3.0,27,9,28,60,99,4,75,6,100,4.0,2.0,3.0,0.0,0.0,27,50,3.0,3.0,25,38,1.0,6.0,0.0
98,Creative_2,1,8,8,44,0.0,1.0,79,0.0,26,11,4.0,4,7,99,36,0.0,4.0,10.0,0.0,3.0,1.0,3.0,334,1.0,2.0,11.0,0.0,7,36.0,50,2.0,2.0,18,22,17,2.0,12,2.0,1,0.0,2.0,42,25,43,53,112,7,75,8,95,11.0,0.0,5.0,3.0,1.0,60,49,7.0,2.0,27,53,13.0,1.0,0.0
99,Creative_2,1,25,9,51,0.0,9.0,36,0.0,22,8,4.0,7,5,109,43,0.0,6.0,9.0,0.0,4.0,1.0,5.0,314,3.0,3.0,2.0,2.0,4,53.0,45,0.0,5.0,24,23,8,1.0,18,4.0,10,0.0,3.0,24,20,41,82,94,11,105,10,92,0.0,1.0,8.0,1.0,10.0,54,41,7.0,2.0,33,41,17.0,18.0,0.0
100,Creative_2,1,20,14,53,0.0,1.0,69,0.0,32,7,1.0,12,5,126,51,0.0,4.0,4.0,0.0,11.0,0.0,9.0,348,2.0,3.0,1.0,0.0,16,24.0,64,2.0,2.0,30,38,17,0.0,16,1.0,1,0.0,3.0,41,19,52,47,96,17,85,13,96,5.0,0.0,2.0,1.0,0.0,87,54,2.0,12.0,26,67,10.0,7.0,0.0
101,Creative_2,1,12,11,54,0.0,5.0,51,0.0,23,3,3.0,10,6,121,48,0.0,1.0,7.0,0.0,5.0,0.0,5.0,321,1.0,0.0,1.0,1.0,9,63.0,58,0.0,5.0,27,23,3,2.0,19,2.0,7,0.0,3.0,37,16,45,75,91,3,98,8,99,1.0,2.0,6.0,0.0,3.0,51,59,7.0,5.0,21,43,4.0,7.0,0.0
102,Creative_2,1,23,11,61,0.0,9.0,58,0.0,31,6,6.0,11,10,122,44,0.0,6.0,9.0,2.0,4.0,1.0,0.0,364,3.0,0.0,2.0,4.0,17,44.0,55,0.0,4.0,20,29,10,2.0,14,1.0,11,0.0,5.0,25,17,49,75,104,19,104,13,108,2.0,1.0,4.0,0.0,18.0,81,65,8.0,7.0,28,51,6.0,13.0,0.0
103,Creative_2,1,23,14,54,0.0,2.0,51,0.0,34,8,3.0,19,9,122,47,0.0,2.0,4.0,0.0,4.0,2.0,1.0,355,0.0,3.0,3.0,3.0,14,42.0,58,0.0,0.0,23,32,3,6.0,13,1.0,3,1.0,2.0,38,14,51,62,116,17,94,15,93,0.0,0.0,2.0,2.0,13.0,79,51,1.0,5.0,27,60,2.0,15.0,0.0
104,Creative_2,1,7,15,36,0.0,3.0,64,0.0,22,10,5.0,8,4,114,39,0.0,5.0,8.0,1.0,3.0,0.0,2.0,359,2.0,2.0,2.0,0.0,10,61.0,48,3.0,5.0,30,22,7,2.0,18,2.0,6,0.0,2.0,41,16,29,77,118,7,99,12,128,0.0,3.0,6.0,0.0,7.0,58,78,7.0,5.0,28,52,4.0,3.0,0.0
105,Creative_2,1,19,17,42,1.0,0.0,57,0.0,39,15,3.0,9,9,129,41,0.0,4.0,2.0,0.0,2.0,1.0,3.0,356,3.0,4.0,0.0,0.0,5,37.0,70,5.0,1.0,30,41,8,2.0,20,3.0,1,0.0,3.0,40,14,39,60,94,9,101,11,116,0.0,0.0,4.0,3.0,0.0,52,38,2.0,2.0,54,59,21.0,6.0,0.0
106,Creative_2,1,14,15,52,0.0,4.0,52,0.0,24,8,2.0,7,7,120,44,0.0,4.0,11.0,0.0,3.0,1.0,3.0,317,1.0,4.0,3.0,0.0,4,32.0,64,1.0,2.0,23,29,7,1.0,29,4.0,6,0.0,4.0,26,14,45,54,92,9,83,9,126,4.0,1.0,2.0,1.0,0.0,45,56,7.0,1.0,37,41,21.0,8.0,0.0
107,Creative_2,1,26,12,57,0.0,2.0,83,0.0,20,10,6.0,5,4,95,44,0.0,1.0,6.0,0.0,6.0,0.0,1.0,369,1.0,2.0,5.0,0.0,10,38.0,55,0.0,0.0,21,23,8,1.0,9,1.0,2,0.0,3.0,28,29,55,73,117,15,96,14,97,2.0,0.0,10.0,2.0,3.0,77,58,4.0,17.0,25,45,15.0,2.0,0.0
108,Creative_2,1,16,14,54,1.0,1.0,67,0.0,39,9,2.0,13,14,150,46,0.0,1.0,8.0,0.0,2.0,1.0,7.0,397,1.0,4.0,4.0,0.0,7,27.0,81,2.0,4.0,20,41,10,2.0,21,1.0,2,0.0,3.0,45,16,52,69,115,18,110,17,122,5.0,0.0,5.0,1.0,0.0,87,60,7.0,11.0,36,68,31.0,8.0,0.0
109,Creative_2,1,14,16,53,0.0,3.0,69,0.0,28,8,3.0,13,9,135,45,0.0,2.0,10.0,3.0,6.0,1.0,2.0,361,2.0,0.0,1.0,3.0,1,39.0,57,4.0,6.0,34,31,16,3.0,23,1.0,4,0.0,2.0,30,20,49,66,101,16,97,14,104,1.0,1.0,9.0,1.0,0.0,56,50,12.0,11.0,27,55,16.0,1.0,0.0
110,Creative_2,1,15,14,75,0.0,3.0,49,1.0,29,5,2.0,10,6,113,48,0.0,2.0,13.0,0.0,8.0,2.0,8.0,325,0.0,1.0,4.0,2.0,4,44.0,52,0.0,5.0,23,39,8,6.0,12,3.0,4,0.0,2.0,43,17,69,56,91,4,95,9,69,0.0,1.0,1.0,2.0,4.0,72,37,7.0,4.0,22,51,4.0,2.0,0.0
111,Creative_2,1,17,12,55,0.0,1.0,64,0.0,22,13,6.0,14,7,93,37,0.0,3.0,3.0,0.0,4.0,1.0,2.0,287,1.0,6.0,2.0,2.0,9,0.0,42,0.0,2.0,16,13,19,1.0,15,1.0,1,0.0,2.0,41,13,54,56,91,5,69,5,98,3.0,0.0,4.0,1.0,52.0,93,41,4.0,4.0,37,49,0.0,3.0,0.0
